0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:21 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:22 +0900] "GET /recipe_project/recipe/list?category_id=0 HTTP/1.1" 200 8039
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:22 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:23 +0900] "GET /recipe_project/recipe/list?category_id=20 HTTP/1.1" 200 12928
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:23 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:24 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13242
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:31:24 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:16 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:16 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:17 +0900] "GET /recipe_project/recipe/list?category_id=20 HTTP/1.1" 200 12928
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:17 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:18 +0900] "GET /recipe_project/recipe/list?category_id=10 HTTP/1.1" 200 13842
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:18 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:20 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:22 +0900] "GET /recipe_project/member/myPage?email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:27 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:33:31 +0900] "GET /recipe_project/recipe/delete?recipe_id=104 HTTP/1.1" 200 5444
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:34:57 +0900] "GET /recipe_project/recipe/delete?recipe_id=104 HTTP/1.1" 500 1677
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:35:02 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:35:06 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:35:09 +0900] "GET /recipe_project/recipe/delete?recipe_id=104 HTTP/1.1" 500 1677
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:26 +0900] "GET /recipe_project/recipe/delete?recipe_id=104 HTTP/1.1" 500 1677
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:36 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:42 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:42 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:47 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:47 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:36:51 +0900] "GET /recipe_project/recipe/delete?recipe_id=104 HTTP/1.1" 500 1677
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:00 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:02 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:02 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:03 +0900] "GET /recipe_project/member/myPage?email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:03 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:06 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:07 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:09 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:09 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:15 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8383
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:41:15 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:20 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:21 +0900] "GET /recipe_project/recipe/list?category_id=30 HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:21 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:23 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:23 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:26 +0900] "GET /recipe_project/member/myPage?email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:26 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:28 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:28 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:31 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:32 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:47:58 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:01 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:01 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:04 +0900] "GET /recipe_project/member/myPage?email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:04 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:07 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:07 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:11 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:11 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:54 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8529
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:54 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:57 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:48:57 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:51:12 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:51:12 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:51:15 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:51:15 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:56:11 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:56:11 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:56:14 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 8669
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:56:14 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:58:12 +0900] "GET /recipe_project/recipe/view?recipe_id=104 HTTP/1.1" 200 8486
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:58:12 +0900] "GET /recipe_project/js/extention/choices.js.map HTTP/1.1" 404 1169
0:0:0:0:0:0:0:1 - - [24/Nov/2019:11:58:15 +0900] "GET /recipe_project/recipe/delete?recipe_id=104&email_id=admin%40dongduk.ac.kr HTTP/1.1" 200 7904
