0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/member/update?email_id=20170983%40dongduk.ac.kr HTTP/1.1" 200 7154
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/js/extention/choices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:32 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:35 +0900] "POST /recipe_project/member/update HTTP/1.1" 200 6711
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/js/ie-emulation-modes-warning.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/js/extention/choices.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:16:56:36 +0900] "GET /recipe_project/js/bootstrap.min.js HTTP/1.1" 304 -
